time,data
2025/02/13 19:04:31.280194254,True
2025/02/13 19:04:31.302306881,True
2025/02/13 19:04:31.426031044,True
2025/02/13 19:04:31.426406490,True
2025/02/13 19:04:31.452790042,True
2025/02/13 19:04:31.503795838,True
2025/02/13 19:04:31.555150681,True
2025/02/13 19:04:31.602920858,True
2025/02/13 19:04:31.657161251,True
2025/02/13 19:04:31.705737852,True
2025/02/13 19:04:31.759418579,True
2025/02/13 19:04:31.810161897,True
2025/02/13 19:04:31.859423099,True
2025/02/13 19:04:31.913164264,True
2025/02/13 19:04:31.960868318,True
2025/02/13 19:04:32.10279240,True
2025/02/13 19:04:32.63329630,True
2025/02/13 19:04:32.115460599,True
2025/02/13 19:04:32.164552305,True
2025/02/13 19:04:32.214311570,True
2025/02/13 19:04:32.263223635,True
2025/02/13 19:04:32.312880220,True
2025/02/13 19:04:32.365246462,True
2025/02/13 19:04:32.418169229,True
2025/02/13 19:04:32.468010022,True
2025/02/13 19:04:32.517693415,True
2025/02/13 19:04:32.564682005,True
2025/02/13 19:04:32.615241046,True
2025/02/13 19:04:32.651170917,True
2025/02/13 19:04:32.702872565,True
2025/02/13 19:04:32.754025783,True
2025/02/13 19:04:32.802577343,True
2025/02/13 19:04:32.850842428,True
2025/02/13 19:04:32.902945691,True
2025/02/13 19:04:32.953922270,True
2025/02/13 19:04:33.5093419,True
2025/02/13 19:04:33.52331938,True
2025/02/13 19:04:33.103181821,True
2025/02/13 19:04:33.151584765,True
2025/02/13 19:04:33.205364191,True
2025/02/13 19:04:33.251923899,True
2025/02/13 19:04:33.302046064,True
2025/02/13 19:04:33.351545745,True
2025/02/13 19:04:33.402375223,True
2025/02/13 19:04:33.453847694,True
2025/02/13 19:04:33.501608701,True
2025/02/13 19:04:33.556782073,True
2025/02/13 19:04:33.604046684,True
2025/02/13 19:04:33.651527341,True
2025/02/13 19:04:33.706110271,True
2025/02/13 19:04:33.751132035,True
2025/02/13 19:04:33.801195411,True
2025/02/13 19:04:33.851433121,True
2025/02/13 19:04:33.903837678,True
2025/02/13 19:04:33.952725467,True
2025/02/13 19:04:34.9399020,True
2025/02/13 19:04:34.53704867,True
2025/02/13 19:04:34.109002049,True
2025/02/13 19:04:34.151308591,True
2025/02/13 19:04:34.332340366,True
2025/02/13 19:04:34.332559038,True
2025/02/13 19:04:34.353403286,True
2025/02/13 19:04:34.353630770,True
2025/02/13 19:04:34.402090732,True
2025/02/13 19:04:34.454847721,True
2025/02/13 19:04:34.501355764,True
2025/02/13 19:04:34.553120780,True
2025/02/13 19:04:34.600946576,True
2025/02/13 19:04:34.652501124,True
2025/02/13 19:04:34.701232685,True
2025/02/13 19:04:34.751090152,True
2025/02/13 19:04:34.802016994,True
2025/02/13 19:04:34.854332745,True
2025/02/13 19:04:34.905166776,True
2025/02/13 19:04:34.953463915,True
2025/02/13 19:04:35.3213738,True
2025/02/13 19:04:35.54735575,True
2025/02/13 19:04:35.103367685,True
2025/02/13 19:04:35.166562863,True
2025/02/13 19:04:35.206528996,True
2025/02/13 19:04:35.259098303,True
2025/02/13 19:04:35.310487565,True
2025/02/13 19:04:35.359445857,True
2025/02/13 19:04:35.415639803,True
2025/02/13 19:04:35.462085432,True
2025/02/13 19:04:35.513401207,True
2025/02/13 19:04:35.563295540,True
2025/02/13 19:04:35.613489901,True
2025/02/13 19:04:35.665724743,True
2025/02/13 19:04:35.701356344,True
2025/02/13 19:04:35.753745561,True
2025/02/13 19:04:35.805414844,True
2025/02/13 19:04:35.855023477,True
2025/02/13 19:04:35.904426036,True
2025/02/13 19:04:35.951794987,True
2025/02/13 19:04:36.9741752,True
2025/02/13 19:04:36.53218209,True
2025/02/13 19:04:36.103953776,True
2025/02/13 19:04:36.157257015,True
2025/02/13 19:04:36.204087950,True
2025/02/13 19:04:36.251196841,True
2025/02/13 19:04:36.303761845,True
2025/02/13 19:04:36.351533538,True
2025/02/13 19:04:36.406111753,True
2025/02/13 19:04:36.453496691,True
2025/02/13 19:04:36.535780214,True
2025/02/13 19:04:36.555258274,True
2025/02/13 19:04:36.602319788,True
2025/02/13 19:04:36.651501585,True
2025/02/13 19:04:36.711235580,True
2025/02/13 19:04:36.753611075,True
2025/02/13 19:04:36.802799530,True
2025/02/13 19:04:36.855417854,True
2025/02/13 19:04:36.903397769,True
2025/02/13 19:04:36.953457372,True
2025/02/13 19:04:37.2823217,True
2025/02/13 19:04:37.51530309,True
2025/02/13 19:04:37.102161135,True
2025/02/13 19:04:37.155586936,True
2025/02/13 19:04:37.202735156,True
2025/02/13 19:04:37.251456428,True
2025/02/13 19:04:37.308352717,True
2025/02/13 19:04:37.353301598,True
2025/02/13 19:04:37.405905139,True
2025/02/13 19:04:37.453489771,True
2025/02/13 19:04:37.509017900,True
2025/02/13 19:04:37.553408803,True
2025/02/13 19:04:37.605662517,True
2025/02/13 19:04:37.653303471,True
2025/02/13 19:04:37.704944394,True
2025/02/13 19:04:37.755000876,True
2025/02/13 19:04:37.805063465,True
2025/02/13 19:04:37.855643871,True
2025/02/13 19:04:37.904682990,True
2025/02/13 19:04:37.957205207,True
2025/02/13 19:04:38.7037258,True
2025/02/13 19:04:38.59592537,True
2025/02/13 19:04:38.109578285,True
2025/02/13 19:04:38.165586528,True
2025/02/13 19:04:38.216000954,True
2025/02/13 19:04:38.263733741,True
2025/02/13 19:04:38.305116863,True
2025/02/13 19:04:38.354567999,True
2025/02/13 19:04:38.403188623,True
2025/02/13 19:04:38.452347874,True
2025/02/13 19:04:38.500100166,True
2025/02/13 19:04:38.553051565,True
2025/02/13 19:04:38.604197885,True
2025/02/13 19:04:38.653083621,True
2025/02/13 19:04:38.704669592,True
2025/02/13 19:04:38.761134009,True
2025/02/13 19:04:38.802244725,True
2025/02/13 19:04:38.854847081,True
2025/02/13 19:04:38.903795543,True
2025/02/13 19:04:38.952266667,True
2025/02/13 19:04:39.7567863,True
2025/02/13 19:04:39.53359367,True
2025/02/13 19:04:39.103648529,True
2025/02/13 19:04:39.152183490,True
2025/02/13 19:04:39.201950132,True
2025/02/13 19:04:39.253344155,True
2025/02/13 19:04:39.305492718,True
2025/02/13 19:04:39.352211086,True
2025/02/13 19:04:39.403522655,True
2025/02/13 19:04:39.453951901,True
2025/02/13 19:04:39.500968033,True
2025/02/13 19:04:39.557712922,True
2025/02/13 19:04:39.601818204,True
2025/02/13 19:04:39.652730724,True
2025/02/13 19:04:39.701519806,True
2025/02/13 19:04:39.752071635,True
2025/02/13 19:04:39.802170187,True
2025/02/13 19:04:39.853925215,True
2025/02/13 19:04:39.904532752,True
2025/02/13 19:04:39.953288938,True
2025/02/13 19:04:40.3521371,True
2025/02/13 19:04:40.56156813,True
2025/02/13 19:04:40.100929929,True
2025/02/13 19:04:40.153712297,True
2025/02/13 19:04:40.204229774,True
2025/02/13 19:04:40.254839095,True
2025/02/13 19:04:40.302759651,True
2025/02/13 19:04:40.355725638,True
2025/02/13 19:04:40.412192528,True
2025/02/13 19:04:40.454999928,True
2025/02/13 19:04:40.510204906,True
2025/02/13 19:04:40.551539599,True
2025/02/13 19:04:40.601944934,True
2025/02/13 19:04:40.653292670,True
2025/02/13 19:04:40.702131759,True
2025/02/13 19:04:40.752873873,True
2025/02/13 19:04:40.802308673,True
2025/02/13 19:04:40.852334082,True
2025/02/13 19:04:40.903030537,True
2025/02/13 19:04:40.960430054,True
2025/02/13 19:04:41.3238194,True
2025/02/13 19:04:41.53629388,True
2025/02/13 19:04:41.109246392,True
2025/02/13 19:04:41.155606667,True
2025/02/13 19:04:41.209084612,True
2025/02/13 19:04:41.258667730,True
2025/02/13 19:04:41.306445141,True
2025/02/13 19:04:41.355280845,True
2025/02/13 19:04:41.409076335,True
2025/02/13 19:04:41.457450873,True
2025/02/13 19:04:41.509376341,True
2025/02/13 19:04:41.559513286,True
2025/02/13 19:04:41.610277027,True
2025/02/13 19:04:41.659615377,True
2025/02/13 19:04:41.712207294,True
2025/02/13 19:04:41.782431440,True
2025/02/13 19:04:41.811372264,True
2025/02/13 19:04:41.861991511,True
2025/02/13 19:04:41.913762620,True
2025/02/13 19:04:41.964253514,True
2025/02/13 19:04:42.7603925,True
2025/02/13 19:04:42.51473985,True
2025/02/13 19:04:42.144253340,True
2025/02/13 19:04:42.155001158,True
2025/02/13 19:04:42.206369555,True
2025/02/13 19:04:42.251460458,True
2025/02/13 19:04:42.307650487,True
2025/02/13 19:04:42.353300417,True
2025/02/13 19:04:42.403396864,True
2025/02/13 19:04:42.453207106,True
2025/02/13 19:04:42.503528896,True
2025/02/13 19:04:42.565573471,True
2025/02/13 19:04:42.605587527,True
2025/02/13 19:04:42.652474921,True
2025/02/13 19:04:42.701576181,True
2025/02/13 19:04:42.761330520,True
2025/02/13 19:04:42.801607632,True
2025/02/13 19:04:42.852353267,True
2025/02/13 19:04:42.902628431,True
2025/02/13 19:04:42.956464066,True
2025/02/13 19:04:43.3704521,True
2025/02/13 19:04:43.57912642,True
2025/02/13 19:04:43.101393567,True
2025/02/13 19:04:43.154321243,True
2025/02/13 19:04:43.201578374,True
2025/02/13 19:04:43.252728093,True
2025/02/13 19:04:43.304416875,True
2025/02/13 19:04:43.352663242,True
2025/02/13 19:04:43.403037445,True
2025/02/13 19:04:43.455087436,True
2025/02/13 19:04:43.501589920,True
2025/02/13 19:04:43.553672816,True
2025/02/13 19:04:43.606291392,True
2025/02/13 19:04:43.655171858,True
2025/02/13 19:04:43.700348547,True
2025/02/13 19:04:43.753758215,True
2025/02/13 19:04:43.801573467,True
2025/02/13 19:04:43.852554213,True
2025/02/13 19:04:43.902134382,True
2025/02/13 19:04:43.952059548,True
2025/02/13 19:04:44.1338623,True
2025/02/13 19:04:44.52394286,True
2025/02/13 19:04:44.104121927,True
2025/02/13 19:04:44.154536117,True
2025/02/13 19:04:44.207019444,True
2025/02/13 19:04:44.263597035,True
2025/02/13 19:04:44.309331770,True
2025/02/13 19:04:44.361914816,True
2025/02/13 19:04:44.410773774,True
2025/02/13 19:04:44.465310726,True
2025/02/13 19:04:44.513795331,True
2025/02/13 19:04:44.563880854,True
2025/02/13 19:04:44.615694970,True
2025/02/13 19:04:44.666263607,True
2025/02/13 19:04:44.708458464,True
2025/02/13 19:04:44.752482810,True
2025/02/13 19:04:44.802716099,True
2025/02/13 19:04:44.883547930,True
2025/02/13 19:04:44.910946394,True
2025/02/13 19:04:44.951451547,True
2025/02/13 19:04:45.2628097,True
2025/02/13 19:04:45.51712120,True
2025/02/13 19:04:45.103502101,True
2025/02/13 19:04:45.154246101,True
2025/02/13 19:04:45.204807687,True
2025/02/13 19:04:45.251558645,True
2025/02/13 19:04:45.303052571,True
2025/02/13 19:04:45.351531400,True
2025/02/13 19:04:45.402688536,True
2025/02/13 19:04:45.453310672,True
2025/02/13 19:04:45.503067030,True
2025/02/13 19:04:45.553577677,True
2025/02/13 19:04:45.602329679,True
2025/02/13 19:04:45.651695331,True
2025/02/13 19:04:45.701925436,True
2025/02/13 19:04:45.751507132,True
2025/02/13 19:04:45.802912026,True
2025/02/13 19:04:45.851175930,True
2025/02/13 19:04:45.905923164,True
2025/02/13 19:04:45.951934588,True
2025/02/13 19:04:46.2728269,True
2025/02/13 19:04:46.52769029,True
2025/02/13 19:04:46.101644929,True
2025/02/13 19:04:46.151767729,True
2025/02/13 19:04:46.235022760,True
2025/02/13 19:04:46.258938479,True
2025/02/13 19:04:46.302992640,True
2025/02/13 19:04:46.354592013,True
2025/02/13 19:04:46.412266268,True
2025/02/13 19:04:46.453585069,True
2025/02/13 19:04:46.506749283,True
2025/02/13 19:04:46.551324957,True
2025/02/13 19:04:46.814254796,True
2025/02/13 19:04:46.814437694,True
2025/02/13 19:04:47.11805056,True
2025/02/13 19:04:47.12050228,True
2025/02/13 19:04:47.12314227,True
2025/02/13 19:04:47.12583242,True
2025/02/13 19:04:47.12834499,True
2025/02/13 19:04:47.13053960,True
2025/02/13 19:04:47.13244365,True
2025/02/13 19:04:47.59334186,True
2025/02/13 19:04:47.107531560,True
2025/02/13 19:04:47.163650498,True
2025/02/13 19:04:47.213878745,True
2025/02/13 19:04:47.264003325,True
2025/02/13 19:04:47.312372585,True
2025/02/13 19:04:47.362876813,True
2025/02/13 19:04:47.413565166,True
2025/02/13 19:04:47.466226184,True
2025/02/13 19:04:47.513174622,True
2025/02/13 19:04:47.567453599,True
2025/02/13 19:04:47.600859582,True
2025/02/13 19:04:47.651379961,True
2025/02/13 19:04:47.700172169,True
2025/02/13 19:04:47.751288865,True
2025/02/13 19:04:47.800682052,True
2025/02/13 19:04:47.852462813,True
2025/02/13 19:04:47.906565690,True
2025/02/13 19:04:47.952832493,True
2025/02/13 19:04:48.586814,True
2025/02/13 19:04:48.51606486,True
2025/02/13 19:04:48.102995357,True
2025/02/13 19:04:48.153058237,True
2025/02/13 19:04:48.200352321,True
2025/02/13 19:04:48.253816524,True
2025/02/13 19:04:48.301152256,True
2025/02/13 19:04:48.353600781,True
2025/02/13 19:04:48.405403383,True
2025/02/13 19:04:48.451122333,True
2025/02/13 19:04:48.501882421,True
2025/02/13 19:04:48.554032144,True
2025/02/13 19:04:48.601875524,True
2025/02/13 19:04:48.655653985,True
2025/02/13 19:04:48.709064267,True
2025/02/13 19:04:48.754313200,True
2025/02/13 19:04:48.802419761,True
2025/02/13 19:04:48.859892020,True
2025/02/13 19:04:48.905682087,True
2025/02/13 19:04:48.953756539,True
2025/02/13 19:04:49.6014205,True
2025/02/13 19:04:49.50631762,True
2025/02/13 19:04:49.107100003,True
2025/02/13 19:04:49.151178833,True
2025/02/13 19:04:49.203777880,True
2025/02/13 19:04:49.253531831,True
2025/02/13 19:04:49.308790283,True
2025/02/13 19:04:49.355597094,True
2025/02/13 19:04:49.407447917,True
2025/02/13 19:04:49.456683885,True
2025/02/13 19:04:49.508403630,True
2025/02/13 19:04:49.557410145,True
2025/02/13 19:04:49.609627879,True
2025/02/13 19:04:49.659216733,True
2025/02/13 19:04:49.710725280,True
2025/02/13 19:04:49.761514702,True
2025/02/13 19:04:49.811675815,True
2025/02/13 19:04:49.860738065,True
2025/02/13 19:04:49.911260518,True
2025/02/13 19:04:49.961126499,True
2025/02/13 19:04:50.14709928,True
2025/02/13 19:04:50.60457138,True
2025/02/13 19:04:50.137985759,True
2025/02/13 19:04:50.164019208,True
2025/02/13 19:04:50.215494808,True
2025/02/13 19:04:50.268426050,True
2025/02/13 19:04:50.305009754,True
2025/02/13 19:04:50.351509861,True
2025/02/13 19:04:50.402779274,True
2025/02/13 19:04:50.451744804,True
2025/02/13 19:04:50.503487863,True
2025/02/13 19:04:50.551354895,True
2025/02/13 19:04:50.602945870,True
2025/02/13 19:04:50.651947800,True
2025/02/13 19:04:50.704397804,True
2025/02/13 19:04:50.753250178,True
2025/02/13 19:04:50.803701940,True
2025/02/13 19:04:50.855973259,True
2025/02/13 19:04:50.904414763,True
2025/02/13 19:04:50.962762303,True
2025/02/13 19:04:51.3210366,True
2025/02/13 19:04:51.56109624,True
2025/02/13 19:04:51.104839991,True
2025/02/13 19:04:51.161934007,True
2025/02/13 19:04:51.202775766,True
2025/02/13 19:04:51.254232434,True
2025/02/13 19:04:51.302369000,True
2025/02/13 19:04:51.354705228,True
2025/02/13 19:04:51.401545726,True
2025/02/13 19:04:51.466603769,True
2025/02/13 19:04:51.503310106,True
2025/02/13 19:04:51.553191610,True
2025/02/13 19:04:51.601621963,True
2025/02/13 19:04:51.652106677,True
2025/02/13 19:04:51.705761446,True
2025/02/13 19:04:51.753407559,True
2025/02/13 19:04:51.801965911,True
2025/02/13 19:04:51.853511148,True
2025/02/13 19:04:51.902231610,True
2025/02/13 19:04:51.953183192,True
2025/02/13 19:04:52.1803859,True
2025/02/13 19:04:52.56771528,True
2025/02/13 19:04:52.102084046,True
2025/02/13 19:04:52.158437558,True
2025/02/13 19:04:52.202328144,True
2025/02/13 19:04:52.254994741,True
2025/02/13 19:04:52.301026643,True
2025/02/13 19:04:52.356351587,True
2025/02/13 19:04:52.402816745,True
2025/02/13 19:04:52.453355184,True
2025/02/13 19:04:52.501247131,True
2025/02/13 19:04:52.551904988,True
2025/02/13 19:04:52.603870355,True
2025/02/13 19:04:52.654236344,True
2025/02/13 19:04:52.705943594,True
2025/02/13 19:04:52.757032936,True
2025/02/13 19:04:52.808886094,True
2025/02/13 19:04:52.856602684,True
2025/02/13 19:04:52.905906261,True
2025/02/13 19:04:52.957992460,True
2025/02/13 19:04:53.11068783,True
2025/02/13 19:04:53.59983806,True
2025/02/13 19:04:53.110765722,True
2025/02/13 19:04:53.167666043,True
2025/02/13 19:04:53.212451126,True
2025/02/13 19:04:53.265002176,True
2025/02/13 19:04:53.316010863,True
2025/02/13 19:04:53.368335473,True
2025/02/13 19:04:53.417082005,True
2025/02/13 19:04:53.451321581,True
2025/02/13 19:04:53.504911716,True
2025/02/13 19:04:53.551575230,True
2025/02/13 19:04:53.603085662,True
2025/02/13 19:04:53.655161461,True
2025/02/13 19:04:53.707486904,True
2025/02/13 19:04:53.754053820,True
2025/02/13 19:04:53.804084140,True
2025/02/13 19:04:53.852109980,True
2025/02/13 19:04:53.904106135,True
2025/02/13 19:04:53.951437475,True
2025/02/13 19:04:54.2998703,True
2025/02/13 19:04:54.52359859,True
2025/02/13 19:04:54.104443512,True
2025/02/13 19:04:54.150310238,True
2025/02/13 19:04:54.202956152,True
2025/02/13 19:04:54.251094121,True
2025/02/13 19:04:54.304843700,True
2025/02/13 19:04:54.353169404,True
2025/02/13 19:04:54.402483258,True
2025/02/13 19:04:54.451515047,True
2025/02/13 19:04:54.503518960,True
2025/02/13 19:04:54.553022557,True
2025/02/13 19:04:54.602870143,True
2025/02/13 19:04:54.651301548,True
2025/02/13 19:04:54.702525590,True
2025/02/13 19:04:54.752461994,True
2025/02/13 19:04:54.803798401,True
2025/02/13 19:04:54.851526445,True
2025/02/13 19:04:54.904126296,True
2025/02/13 19:04:54.951400268,True
2025/02/13 19:04:55.8884229,True
2025/02/13 19:04:55.51251891,True
2025/02/13 19:04:55.104252192,True
2025/02/13 19:04:55.151599572,True
2025/02/13 19:04:55.203608907,True
2025/02/13 19:04:55.254607354,True
2025/02/13 19:04:55.306071796,True
2025/02/13 19:04:55.355862160,True
2025/02/13 19:04:55.415609769,True
2025/02/13 19:04:55.458508656,True
2025/02/13 19:04:55.511160330,True
2025/02/13 19:04:55.560811533,True
2025/02/13 19:04:55.615245602,True
2025/02/13 19:04:55.664039849,True
2025/02/13 19:04:55.713558315,True
2025/02/13 19:04:55.765239505,True
2025/02/13 19:04:55.816221100,True
2025/02/13 19:04:55.874442060,True
2025/02/13 19:04:55.913813105,True
2025/02/13 19:04:55.954486838,True
2025/02/13 19:04:56.2117937,True
2025/02/13 19:04:56.52323472,True
2025/02/13 19:04:56.101915903,True
2025/02/13 19:04:56.432821626,True
2025/02/13 19:04:56.433142360,True
2025/02/13 19:04:56.433256489,True
2025/02/13 19:04:56.433368435,True
2025/02/13 19:04:56.433479701,True
2025/02/13 19:04:56.433565833,True
2025/02/13 19:04:56.455056208,True
2025/02/13 19:04:56.502029059,True
2025/02/13 19:04:56.556238520,True
2025/02/13 19:04:56.601876490,True
2025/02/13 19:04:56.657479033,True
2025/02/13 19:04:56.702017190,True
2025/02/13 19:04:56.753159150,True
2025/02/13 19:04:56.802592490,True
2025/02/13 19:04:56.852373365,True
2025/02/13 19:04:56.903815445,True
2025/02/13 19:04:56.955339342,True
2025/02/13 19:04:57.5635800,True
2025/02/13 19:04:57.54400604,True
2025/02/13 19:04:57.101849877,True
2025/02/13 19:04:57.154616526,True
2025/02/13 19:04:57.201607578,True
2025/02/13 19:04:57.252541501,True
2025/02/13 19:04:57.304447017,True
2025/02/13 19:04:57.354363362,True
2025/02/13 19:04:57.421093757,True
2025/02/13 19:04:57.454149497,True
2025/02/13 19:04:57.523273450,True
2025/02/13 19:04:57.551930785,True
2025/02/13 19:04:57.602859196,True
2025/02/13 19:04:57.651792487,True
2025/02/13 19:04:57.702514200,True
2025/02/13 19:04:57.755914243,True
2025/02/13 19:04:57.802581499,True
2025/02/13 19:04:57.851955069,True
2025/02/13 19:04:57.902737091,True
2025/02/13 19:04:57.952265084,True
2025/02/13 19:04:58.3466587,True
2025/02/13 19:04:58.54283530,True
2025/02/13 19:04:58.106800696,True
2025/02/13 19:04:58.155622898,True
2025/02/13 19:04:58.208405063,True
2025/02/13 19:04:58.260020973,True
2025/02/13 19:04:58.323506160,True
2025/02/13 19:04:58.366818097,True
2025/02/13 19:04:58.411258585,True
2025/02/13 19:04:58.459470458,True
2025/02/13 19:04:58.510249525,True
2025/02/13 19:04:58.561707446,True
